sample	reads_with_corrected_index_err	reads_with_no_index_err	reads_thrown_out	fraction_of_index_accepted
Omi32_d_2_1	16896	667984	288493	0.7036151608889911
Omi32_d_2_2	302709	14330667	278628	0.981315187415454
Omi32_d_2_3	413618	12093610	4258866	0.7459834115208945
Omi32_d_2_4	351622	11129183	418787	0.9648066084954844
Omi32_d_3_1	9280	262538	191939	0.5861216111023662
Omi32_d_3_2	165089	5138257	4518913	0.5399313946007737
Omi32_d_3_3	334817	12880789	160150	0.988026844987304
Omi32_d_3_4	401128	13960137	333968	0.977273718626986
Omi32_d_4_1	63002	1751881	140609	0.928095333552886
Omi32_d_4_2	295417	12580978	255933	0.9805112239048552
Omi32_d_4_3	471091	15468431	177227	0.9890035515227048
Omi32_d_4_4	304458	9625022	308160	0.9698993127322312
Omi32_d_5_1	84667	2982452	221945	0.9325203158102122
Omi32_d_5_2	316598	10367474	179613	0.9834666597936152
Omi32_d_5_3	340550	11704133	177551	0.9854731139986356
Omi32_d_5_4	374543	11190449	1184217	0.9071144727488584
Omi32_d_6_1	313571	9466059	439135	0.957026607422717
Omi32_d_6_2	393267	12563275	405561	0.9696484153729394
Omi32_d_6_3	369515	11282555	262901	0.9779352379456064
Omi32_d_6_4	0	6	149829	4.004404845329863e-05
Omi32_d_7_1	799526	22236478	277726	0.9880874488981386
Omi32_d_7_2	368027	13780969	473700	0.9676051529758944
Omi32_d_7_3	0	6	149829	4.004404845329863e-05
Omi32_d_7_4	0	6	149829	4.004404845329863e-05
Omi32_d_8_1	1349758	34336078	191075	0.9946741512946864
Omi32_d_8_2	235348	6165673	222568	0.9663976735271468
Omi32_d_8_3	0	6	149829	4.004404845329863e-05
Omi32_d_8_4	0	6	149829	4.004404845329863e-05
Omi32_i_2_1	94322	2935969	204706	0.9367214250894204
Omi32_i_2_2	479087	13621036	458064	0.9685356425219708
Omi32_i_2_3	285402	13975156	82778	0.9942288181773056
Omi32_i_2_4	272311	9567049	275771	0.9727367841306256
Omi32_i_3_1	67067	2833970	140021	0.9539564848812484
Omi32_i_3_2	235226	10140522	129605	0.987662956209087
Omi32_i_3_3	327537	11125847	166815	0.9856443938696748
Omi32_i_3_4	190996	9189325	123938	0.9869597408908996
Omi32_i_4_1	80741	3431391	345384	0.9104646617149482
Omi32_i_4_2	422142	11852383	151037	0.9878446544309224
Omi32_i_4_3	301560	10507394	346580	0.9689320116813772
Omi32_i_4_4	366713	11843420	148039	0.9880209629708988
Omi32_i_5_1	237929	9280526	207069	0.9787087050528076
Omi32_i_5_2	205471	8051891	417348	0.95188911214323
Omi32_i_5_3	297807	8983617	162553	0.9827876539724736
Omi32_i_5_4	229314	8010741	242607	0.971399662040053
Omi32_i_6_1	570142	18428645	669602	0.965955422175146
Omi32_i_6_2	207788	8088300	114545	0.98638092994903
Omi32_i_6_3	244813	10589317	158115	0.9856157682074954
Omi32_i_6_4	0	14	391337	3.577351278008744e-05
Omi32_i_7_1	1028411	39842749	999097	0.9761382644486754
Omi32_i_7_2	30691	1192852	387488	0.7594782471597381
Omi32_i_7_3	0	14	391337	3.577351278008744e-05
Omi32_i_7_4	0	14	391337	3.577351278008744e-05
Omi32_i_8_1	1034739	37376295	624884	0.9839920762206744
Omi32_i_8_2	41404	1576758	234691	0.8733353374498678
Omi32_i_8_3	0	14	391337	3.577351278008744e-05
Omi32_i_8_4	0	14	391337	3.577351278008744e-05
