sample	reads_with_incorrect_barcode	reads_with_no_err_in_barcode	reads_with_one_sub_in_barcode	reads_with_two_or_more_subs_in_barcode	reads_with_indels_in_barcode	total_accepted	fraction_accepted
Omi32_e_2_1	468769	101380	0	0	0	101380	0.1778131681367502
Omi32_e_2_2	7274372	5534729	0	0	0	5534729	0.4320934779107448
Omi32_e_2_3	2895897	12800111	0	0	0	12800111	0.8155010496936546
Omi32_e_2_4	3014152	15774855	0	0	0	15774855	0.839578962315571
Omi32_e_3_1	461233	83384	0	0	0	83384	0.1531057605620096
Omi32_e_3_2	7696833	5389458	0	0	0	5389458	0.4118399934710301
Omi32_e_3_3	2276534	8517967	0	0	0	8517967	0.7891024328035172
Omi32_e_3_4	2584391	14343153	0	0	0	14343153	0.8473262866721835
Omi32_e_4_1	1312124	336989	0	0	0	336989	0.2043456088212269
Omi32_e_4_2	5794308	7113545	0	0	0	7113545	0.5511021081507513
Omi32_e_4_3	2211337	8826523	0	0	0	8826523	0.7996589012725293
Omi32_e_4_4	1810699	10077831	0	0	0	10077831	0.8476936172933071
Omi32_e_5_1	2763374	1129779	0	0	0	1129779	0.2901964037889084
Omi32_e_5_2	4672594	7207372	0	0	0	7207372	0.6066828810789526
Omi32_e_5_3	2407276	8510156	0	0	0	8510156	0.7795016263897957
Omi32_e_5_4	2007913	10351024	0	0	0	10351024	0.8375335192662605
Omi32_e_6_1	5634745	7875061	0	0	0	7875061	0.582914440074121
Omi32_e_6_2	2265935	7937829	0	0	0	7937829	0.7779314574504075
Omi32_e_6_3	879820	4386871	0	0	0	4386871	0.8329463414504478
Omi32_e_6_4	71705	141128	0	0	0	141128	0.6630926595029906
Omi32_e_7_1	5950951	12147871	0	0	0	12147871	0.6711967773372212
Omi32_e_7_2	2586579	7538061	0	0	0	7538061	0.7445263238989238
Omi32_e_7_3	347385	981754	0	0	0	981754	0.7386390738666159
Omi32_e_7_4	2	4	0	0	0	4	0.6666666666666666
Omi32_e_8_1	10996024	24424797	0	0	0	24424797	0.689560442430174
Omi32_e_8_2	1226834	3347611	0	0	0	3347611	0.7318070279563968
Omi32_e_8_3	356770	1005811	0	0	0	1005811	0.738166024625325
Omi32_e_8_4	2	4	0	0	0	4	0.6666666666666666
Omi32_e_F_1	1637921	281359	0	0	0	281359	0.1465961193781001
Omi32_e_F_2	1864348	253362	0	0	0	253362	0.1196396107115705
Omi32_e_F_3	2949117	324287	0	0	0	324287	0.0990672095470036
Omi32_e_F_4	1541064	794850	0	0	0	794850	0.3402736573349875
Omi32_e_F_5	1424489	4214757	0	0	0	4214757	0.7473972584278111
Omi32_e_F_6	3224624	15339044	0	0	0	15339044	0.8262938121927197
Omi32_e_F_7	981001	5789507	0	0	0	5789507	0.8551067364516813
Omi32_e_F_8	72755	444912	0	0	0	444912	0.8594559823206811
Omi32_f_2_1	222593	8313	0	0	0	8313	0.0360016630143868
Omi32_f_2_2	8905955	2243634	0	0	0	2243634	0.2012301978126727
Omi32_f_2_3	3569720	17327016	0	0	0	17327016	0.8291733216134807
Omi32_f_2_4	1528226	9489235	0	0	0	9489235	0.8612905459796953
Omi32_f_3_1	297466	18952	0	0	0	18952	0.0598954547465694
Omi32_f_3_2	9468749	4435920	0	0	0	4435920	0.3190237753951568
Omi32_f_3_3	3794646	17095309	0	0	0	17095309	0.818350685772181
Omi32_f_3_4	1367538	7799491	0	0	0	7799491	0.8508199330448284
Omi32_f_4_1	375068	38538	0	0	0	38538	0.0931756309144451
Omi32_f_4_2	8335689	6102294	0	0	0	6102294	0.4226555745355844
Omi32_f_4_3	2667806	10667433	0	0	0	10667433	0.7999431431262687
Omi32_f_4_4	2462386	14611821	0	0	0	14611821	0.855783287622084
Omi32_f_5_1	3270352	4722482	0	0	0	4722482	0.590839494477178
Omi32_f_5_2	6988914	6053878	0	0	0	6053878	0.4641550674119468
Omi32_f_5_3	2650844	6928590	0	0	0	6928590	0.7232775965678139
Omi32_f_5_4	1554101	9483393	0	0	0	9483393	0.8591980208550962
Omi32_f_6_1	10135308	19523391	0	0	0	19523391	0.6582686246621944
Omi32_f_6_2	4518671	5217743	0	0	0	5217743	0.5358998703218659
Omi32_f_6_3	237840	1042374	0	0	0	1042374	0.8142185603344441
Omi32_f_6_4	54142	102870	0	0	0	102870	0.6551728530303417
Omi32_f_7_1	9978471	28530579	0	0	0	28530579	0.7408798451273142
Omi32_f_7_2	3042746	2586399	0	0	0	2586399	0.4594656915037718
Omi32_f_7_3	577420	1037880	0	0	0	1037880	0.6425307992323407
Omi32_f_7_4	2	4	0	0	0	4	0.6666666666666666
Omi32_f_8_1	11716412	27591372	0	0	0	27591372	0.7019315054748444
Omi32_f_8_2	3114653	1569619	0	0	0	1569619	0.3350828047560005
Omi32_f_8_3	377383	768947	0	0	0	768947	0.6707902610941003
Omi32_f_8_4	2	4	0	0	0	4	0.6666666666666666
Omi32_f_F_1	93333	39547	0	0	0	39547	0.2976143889223359
Omi32_f_F_2	154705	74126	0	0	0	74126	0.3239333831517583
Omi32_f_F_3	358948	462605	0	0	0	462605	0.563086009058454
Omi32_f_F_4	2023928	293097	0	0	0	293097	0.1264971245454839
Omi32_f_F_5	3437022	633190	0	0	0	633190	0.1555668353392894
Omi32_f_F_6	4722363	7601837	0	0	0	7601837	0.6168219438178543
Omi32_f_F_7	3142114	17517704	0	0	0	17517704	0.8479118257479326
Omi32_f_F_8	71000	442258	0	0	0	442258	0.8616680110197991
