,antibody,antigen,replicate_1_expression,replicate_2_expression,replicate_1_sem,replicate_2_sem,delta_ab_2205_rep1,delta_ab_6396_rep1,delta_ab_5173_rep1,delta_ab_6432_rep1,delta_ab_4628_rep1,delta_ab_4034_rep1,delta_ab_5377_rep1,delta_ab_5469_rep1,delta_ab_GERMLINE_rep1,delta_ab_OMI32_rep1,delta_ab_2205_rep2,delta_ab_6396_rep2,delta_ab_5173_rep2,delta_ab_6432_rep2,delta_ab_4628_rep2,delta_ab_4034_rep2,delta_ab_5377_rep2,delta_ab_5469_rep2,delta_ab_GERMLINE_rep2,delta_ab_OMI32_rep2,mean_delta_ab_2205,sem_delta_ab_2205,mean_delta_ab_6396,sem_delta_ab_6396,mean_delta_ab_5173,sem_delta_ab_5173,mean_delta_ab_6432,sem_delta_ab_6432,mean_delta_ab_4628,sem_delta_ab_4628,mean_delta_ab_4034,sem_delta_ab_4034,mean_delta_ab_5377,sem_delta_ab_5377,mean_delta_ab_5469,sem_delta_ab_5469,mean_delta_ab_GERMLINE,sem_delta_ab_GERMLINE,mean_delta_ab_OMI32,sem_delta_ab_OMI32
0,2205,PSR,4.139161460159759,4.25403471497196,0.01239385812216049,0.013157432499499482,0.0,-0.15868461793009736,0.09173107498242317,-0.096856982455515,-0.026440709957476827,-0.06532657750114712,-0.017928949230582525,-0.034520674325452916,-0.009573106170286394,-0.08489900102360082,0.0,0.016045008934424843,0.17033550661810715,-0.009582195946273409,0.07462008368759854,-0.059884405673896524,0.12441790552221832,0.09363237903653854,0.05323110379360596,-0.004763871728454383,0.0,0.0,-0.07131980449783626,0.12355250403009879,0.13103329080026516,0.05558172664090652,-0.0532195892008942,0.061712593367292935,0.024089686865060855,0.07146077249852713,-0.06260549158752182,0.003848196603431281,0.0532444781458179,0.100654426276282,0.02955585235554281,0.09061789306202564,0.021828998811659783,0.04440928275253202,-0.0448314363760276,0.0566640933358588
1,6396,PSR,4.297846078089856,4.237989706037535,0.017332964928107222,0.011826796802655791,0.15868461793009736,0.0,0.2504156929125205,0.061827635474582365,0.13224390797262053,0.09335804042895024,0.14075566869951484,0.12416394360464444,0.14911151175981097,0.07378561690649654,-0.016045008934424843,0.0,0.1542904976836823,-0.02562720488069825,0.058575074753173695,-0.07592941460832137,0.10837289658779348,0.0775873701021137,0.03718609485918112,-0.020808880662879226,0.07131980449783626,0.12355250403009879,0.0,0.0,0.20235309529810142,0.06797077738919227,0.018100215296942057,0.06183991066280585,0.09540949136289711,0.05209173153157166,0.008714312910314437,0.1197043074266675,0.12456428264365416,0.022898077753816786,0.10087565685337907,0.03293461096807315,0.09314880330949604,0.07914322127756677,0.02648836812180866,0.06688841069424
2,5173,PSR,4.047430385177336,4.083699208353853,0.04309809341666548,0.03262969413859401,-0.09173107498242317,-0.2504156929125205,0.0,-0.18858805743793816,-0.1181717849399,-0.1570576524835703,-0.10966002421300569,-0.12625174930787608,-0.10130418115270956,-0.17663007600602398,-0.17033550661810715,-0.1542904976836823,0.0,-0.17991770256438055,-0.09571542293050861,-0.23021991229200367,-0.04591760109588883,-0.07670312758156861,-0.11710440282450119,-0.17509937834656153,-0.13103329080026516,0.05558172664090652,-0.20235309529810142,0.06797077738919227,0.0,0.0,-0.18425288000115936,0.006130866726386414,-0.1069436039352043,0.01587904585762061,-0.19363878238778698,0.05173353003747524,-0.07778881265444726,0.04507269963537548,-0.10147743844472235,0.03503616642111911,-0.10920429198860537,0.011172443888374507,-0.17586472717629276,0.0010823666949522782
3,6432,PSR,4.236018442615274,4.263616910918233,0.02006102679917722,0.012489603782856544,0.096856982455515,-0.061827635474582365,0.18858805743793816,0.0,0.07041627249803817,0.031530404954367874,0.07892803322493247,0.06233630813006208,0.0872838762852286,0.011957981431914178,0.009582195946273409,0.02562720488069825,0.17991770256438055,0.0,0.08420227963387195,-0.050302209727623115,0.13400010146849173,0.10321457498281195,0.06281329973987937,0.0048183242178190255,0.0532195892008942,0.061712593367292935,-0.018100215296942057,0.06183991066280585,0.18425288000115936,0.006130866726386414,0.0,0.0,0.07730927606595506,0.009748179131234196,-0.00938590238662762,0.05786439676386165,0.1064640673467121,0.03894183290898907,0.08277544155643701,0.028905299694732697,0.07504858801255399,0.01730331061476092,0.008388152824866602,0.005048500031434136
4,4628,PSR,4.165602170117236,4.179414631284361,0.011711728086198653,0.01497747808283124,0.026440709957476827,-0.13224390797262053,0.1181717849399,-0.07041627249803817,0.0,-0.038885867543670294,0.008511760726894302,-0.008079964367976089,0.016867603787190433,-0.05845829106612399,-0.07462008368759854,-0.058575074753173695,0.09571542293050861,-0.08420227963387195,0.0,-0.13450448936149506,0.04979782183461978,0.01901229534894,-0.021388979893992577,-0.07938395541605292,-0.024089686865060855,0.07146077249852713,-0.09540949136289711,0.05209173153157166,0.1069436039352043,0.01587904585762061,-0.07730927606595506,0.009748179131234196,0.0,0.0,-0.08669517845258268,0.06761257589509585,0.029154791280757042,0.029193653777754867,0.005466165490481956,0.0191571205634985,-0.002260688053401072,0.027051489745995118,-0.06892112324108846,0.014796679162668334
5,4034,PSR,4.204488037660906,4.313919120645856,0.022366400678422955,0.009417148894725027,0.06532657750114712,-0.09335804042895024,0.1570576524835703,-0.031530404954367874,0.038885867543670294,0.0,0.047397628270564596,0.030805903175694205,0.05575347133086073,-0.019572423522453697,0.059884405673896524,0.07592941460832137,0.23021991229200367,0.050302209727623115,0.13450448936149506,0.0,0.18430231119611484,0.15351678471043506,0.11311550946750248,0.05512053394544214,0.06260549158752182,0.003848196603431281,-0.008714312910314437,0.1197043074266675,0.19363878238778698,0.05173353003747524,0.00938590238662762,0.05786439676386165,0.08669517845258268,0.06761257589509585,0.0,0.0,0.11584996973333972,0.09680622967285073,0.09216134394306463,0.08676969645859435,0.0844344903991816,0.040561086149100735,0.017774055211494222,0.05281589673242752
6,5377,PSR,4.157090409390341,4.129616809449741,0.0247896576191615,0.04907983904160205,0.017928949230582525,-0.14075566869951484,0.10966002421300569,-0.07892803322493247,-0.008511760726894302,-0.047397628270564596,0.0,-0.01659172509487039,0.008355843060296131,-0.06697005179301829,-0.12441790552221832,-0.10837289658779348,0.04591760109588883,-0.13400010146849173,-0.04979782183461978,-0.18430231119611484,0.0,-0.03078552648567978,-0.07118680172861236,-0.1291817772506727,-0.0532444781458179,0.100654426276282,-0.12456428264365416,0.022898077753816786,0.07778881265444726,0.04507269963537548,-0.1064640673467121,0.03894183290898907,-0.029154791280757042,0.029193653777754867,-0.11584996973333972,0.09680622967285073,0.0,0.0,-0.023688625790275086,0.01003653321425637,-0.031415479334158114,0.056245143523749985,-0.0980759145218455,0.043990332940423205
7,5469,PSR,4.173682134485212,4.160402335935421,0.03407556702025078,0.05815936967024136,0.034520674325452916,-0.12416394360464444,0.12625174930787608,-0.06233630813006208,0.008079964367976089,-0.030805903175694205,0.01659172509487039,0.0,0.024947568155166522,-0.0503783266981479,-0.09363237903653854,-0.0775873701021137,0.07670312758156861,-0.10321457498281195,-0.01901229534894,-0.15351678471043506,0.03078552648567978,0.0,-0.04040127524293258,-0.09839625076499292,-0.02955585235554281,0.09061789306202564,-0.10087565685337907,0.03293461096807315,0.10147743844472235,0.03503616642111911,-0.08277544155643701,0.028905299694732697,-0.005466165490481956,0.0191571205634985,-0.09216134394306463,0.08676969645859435,0.023688625790275086,0.01003653321425637,0.0,0.0,-0.007726853543883028,0.046208610309493615,-0.07438728873157041,0.033953799726166835
8,GERMLINE,PSR,4.148734566330045,4.200803611178354,0.01714640147343129,0.012417914425850924,0.009573106170286394,-0.14911151175981097,0.10130418115270956,-0.0872838762852286,-0.016867603787190433,-0.05575347133086073,-0.008355843060296131,-0.024947568155166522,0.0,-0.07532589485331442,-0.05323110379360596,-0.03718609485918112,0.11710440282450119,-0.06281329973987937,0.021388979893992577,-0.11311550946750248,0.07118680172861236,0.04040127524293258,0.0,-0.057994975522060344,-0.021828998811659783,0.04440928275253202,-0.09314880330949604,0.07914322127756677,0.10920429198860537,0.011172443888374507,-0.07504858801255399,0.01730331061476092,0.002260688053401072,0.027051489745995118,-0.0844344903991816,0.040561086149100735,0.031415479334158114,0.056245143523749985,0.007726853543883028,0.046208610309493615,0.0,0.0,-0.06666043518768738,0.012254810583326784
9,OMI32,PSR,4.22406046118336,4.258798586700414,0.024656645201046847,0.006479190216945784,0.08489900102360082,-0.07378561690649654,0.17663007600602398,-0.011957981431914178,0.05845829106612399,0.019572423522453697,0.06697005179301829,0.0503783266981479,0.07532589485331442,0.0,0.004763871728454383,0.020808880662879226,0.17509937834656153,-0.0048183242178190255,0.07938395541605292,-0.05512053394544214,0.1291817772506727,0.09839625076499292,0.057994975522060344,0.0,0.0448314363760276,0.0566640933358588,-0.02648836812180866,0.06688841069424,0.17586472717629276,0.0010823666949522782,-0.008388152824866602,0.005048500031434136,0.06892112324108846,0.014796679162668334,-0.017774055211494222,0.05281589673242752,0.0980759145218455,0.043990332940423205,0.07438728873157041,0.033953799726166835,0.06666043518768738,0.012254810583326784,0.0,0.0
