antibody,antigen,n_replicates,mean_log_EC50,sem_log_EC50,mean_hill_coefficient,sem_hill_coefficient,mean_amplitude_A,mean_baseline_B,mean_fit_rmse
2205,PSR,2,-1.4396350165632763,0.15820096382787185,,,24868.368968286683,100.00000000000001,0.2042584268457055
4034,PSR,2,-1.0528709072536215,0.06263892819356147,,,21031.93159593239,100.00000000000001,0.23146068247029916
4628,PSR,2,-1.4592590986939145,0.08946210473027327,,,12828.686217958566,100.00000000000001,0.31600233129494404
5173,PSR,2,-0.9854555600980315,0.007173433274218543,,,9886.29073397193,100.00000000000001,0.28883817406559925
5377,PSR,2,-0.920930179407546,0.11431535909541173,,,10012.17626188867,100.00000000000001,0.2116498003040989
5469,PSR,2,-0.8922115525813346,0.1467326532545206,,,35238.28004888987,100.00000000000001,0.4049034479958617
6396,PSR,2,-1.2425814963792703,0.062022067980101125,,,10440.665799348128,100.00000000000001,0.2508677347751484
6432,PSR,2,-1.2662978010019388,0.08404803491758639,,,15701.640576641727,100.00000000000001,0.2348819870889302
GERMLINE,PSR,2,-1.4434892946507536,0.013341642777947136,,,11458.188423356147,100.0209295414308,0.26225376650400384
OMI32,PSR,2,-1.2913701041090038,0.06386191778814443,,,27179.568684670558,100.00000000000001,0.33324600553936135
