antigen,phenotype_name,scope,order,r2_train_mean,r2_train_std,r2_test_mean,r2_test_std,num_sig_mean,num_sig_std,n_samples
ba1,raw,all,1,0.6388748262999588,0.0017123160914694884,0.6371007578304977,0.012229948042780022,8.0,0.0,7037
ba1,raw,all,2,0.7805543642840984,0.0017926095515714698,0.7734693029987796,0.012311287752012692,31.875,1.1259916264596033,7037
ba1,raw,all,3,0.8241519501694319,0.0017719656940488316,0.7996608953861504,0.01388658525869373,46.25,2.187627547301936,7037
ba1,raw,all,4,0.8567816640018644,0.0013626198608747027,0.7845525488186402,0.01248293531708019,51.25,2.5495097567963922,7037
ba1,raw,pos4_binders,1,0.5336116951551657,0.005027955216693323,0.5261551452346416,0.03943063396904218,8.625,0.7440238091428449,3693
ba1,raw,pos4_binders,2,0.6280486403903678,0.004320444525525986,0.6055777742211408,0.03405482895568245,20.5,0.9258200997725514,3693
ba1,raw,pos4_binders,3,0.6720915361245547,0.00455505260216867,0.5996492852053721,0.039435922848276905,22.5,1.1952286093343936,3693
ba1,raw,pos4_binders,4,0.7342375775275574,0.0032873329032653926,0.5352171018678064,0.0418126786397661,19.25,1.0350983390135313,3693
ba1,latent_hill_v1,all,1,0.703610809884821,0.002511154186430678,0.7022624129052122,0.01714552815429153,9.625,0.5175491695067657,7037
ba1,latent_hill_v1,all,2,0.7508427943959681,0.0019107189849074022,0.7441740717720342,0.013386739662571947,26.75,1.3887301496588271,7037
ba1,latent_hill_v1,all,3,0.7819005513612978,0.0020395650999776847,0.7534573571748511,0.015348963423635092,38.0,1.1952286093343936,7037
ba1,latent_hill_v1,all,4,0.8209361245630702,0.001878043679570661,0.7364469588409132,0.015547043239581561,40.125,1.246423454758225,7037
